CVE,Published,Modified,Status
CVE-2021-31047,2021-08-24T19:15:26.677,2023-11-07T03:34:28.880,Rejected
CVE-2021-31051,2021-08-24T19:15:26.840,2023-11-07T03:34:29.840,Rejected
CVE-2021-31092,2021-08-24T19:15:28.760,2023-11-07T03:34:39.803,Rejected
CVE-2021-31084,2021-08-24T19:15:28.340,2023-11-07T03:34:37.880,Rejected
CVE-2021-31085,2021-08-24T19:15:28.380,2023-11-07T03:34:38.127,Rejected
CVE-2021-31093,2021-08-24T19:15:28.800,2023-11-07T03:34:40.040,Rejected
CVE-2021-31050,2021-08-24T19:15:26.800,2023-11-07T03:34:29.590,Rejected
CVE-2021-31011,2021-08-24T19:15:25.027,2023-11-07T03:34:20.100,Rejected
CVE-2021-31046,2021-08-24T19:15:26.627,2023-11-07T03:34:28.627,Rejected
CVE-2021-31031,2021-08-24T19:15:25.977,2023-11-07T03:34:25.030,Rejected
CVE-2021-31066,2021-08-24T19:15:27.503,2023-11-07T03:34:33.620,Rejected
CVE-2021-31089,2021-08-24T19:15:28.607,2023-11-07T03:34:39.103,Rejected
CVE-2021-31070,2021-08-24T19:15:27.663,2023-11-07T03:34:34.583,Rejected
CVE-2021-31027,2021-08-24T19:15:25.757,2023-11-07T03:34:24.073,Rejected
CVE-2021-31041,2021-08-24T19:15:26.427,2023-11-07T03:34:27.420,Rejected
CVE-2021-31016,2021-08-24T19:15:25.230,2023-11-07T03:34:21.367,Rejected
CVE-2021-31057,2021-08-24T19:15:27.090,2023-11-07T03:34:31.310,Rejected
CVE-2021-31094,2021-08-24T19:15:28.840,2023-11-07T03:34:40.280,Rejected
CVE-2021-31082,2021-08-24T19:15:28.260,2023-11-07T03:34:37.413,Rejected
CVE-2021-31020,2021-08-24T19:15:25.393,2023-11-07T03:34:22.340,Rejected
CVE-2021-31077,2021-08-24T19:15:28.013,2023-11-07T03:34:36.230,Rejected
CVE-2021-31098,2021-08-24T19:15:29.000,2023-11-07T03:34:41.263,Rejected
CVE-2021-31061,2021-08-24T19:15:27.250,2023-11-07T03:34:32.273,Rejected
CVE-2021-31036,2021-08-24T19:15:26.173,2023-11-07T03:34:26.243,Rejected
CVE-2021-31037,2021-08-24T19:15:26.213,2023-11-07T03:34:26.473,Rejected
CVE-2021-31060,2021-08-24T19:15:27.210,2023-11-07T03:34:32.040,Rejected
CVE-2021-31076,2021-08-24T19:15:27.973,2023-11-07T03:34:36.000,Rejected
CVE-2021-31099,2021-08-24T19:15:29.043,2023-11-07T03:34:41.507,Rejected
CVE-2021-31021,2021-08-24T19:15:25.433,2023-11-07T03:34:22.573,Rejected
CVE-2021-31083,2021-08-24T19:15:28.300,2023-11-07T03:34:37.640,Rejected
CVE-2021-31095,2021-08-24T19:15:28.880,2023-11-07T03:34:40.563,Rejected
CVE-2021-31056,2021-08-24T19:15:27.053,2023-11-07T03:34:31.073,Rejected
CVE-2021-31017,2021-08-24T19:15:25.270,2023-11-07T03:34:21.603,Rejected
CVE-2021-31040,2021-08-24T19:15:26.333,2023-11-07T03:34:27.187,Rejected
CVE-2021-31038,2021-08-24T19:15:26.253,2023-11-07T03:34:26.720,Rejected
CVE-2021-31080,2021-08-24T19:15:28.183,2023-11-07T03:34:36.947,Rejected
CVE-2021-31096,2021-08-24T19:15:28.920,2023-11-07T03:34:40.797,Rejected
CVE-2021-31079,2021-08-24T19:15:28.090,2023-11-07T03:34:36.700,Rejected
CVE-2021-31055,2021-08-24T19:15:27.013,2023-11-07T03:34:30.847,Rejected
CVE-2021-31014,2021-08-24T19:15:25.147,2023-11-07T03:34:20.860,Rejected
CVE-2021-31043,2021-08-24T19:15:26.510,2023-11-07T03:34:27.920,Rejected
CVE-2021-31034,2021-08-24T19:15:26.097,2023-11-07T03:34:25.763,Rejected
CVE-2021-31063,2021-08-24T19:15:27.333,2023-11-07T03:34:32.773,Rejected
CVE-2021-31075,2021-08-24T19:15:27.910,2023-11-07T03:34:35.770,Rejected
CVE-2021-31022,2021-08-24T19:15:25.470,2023-11-07T03:34:22.843,Rejected
CVE-2021-31059,2021-08-24T19:15:27.170,2023-11-07T03:34:31.780,Rejected
CVE-2021-31018,2021-08-24T19:15:25.313,2023-11-07T03:34:21.853,Rejected
CVE-2021-31019,2021-08-24T19:15:25.353,2023-11-07T03:34:22.097,Rejected
CVE-2021-31058,2021-08-24T19:15:27.130,2023-11-07T03:34:31.540,Rejected
CVE-2021-31023,2021-08-24T19:15:25.510,2023-11-07T03:34:23.097,Rejected
CVE-2021-31074,2021-08-24T19:15:27.870,2023-11-07T03:34:35.530,Rejected
CVE-2021-31062,2021-08-24T19:15:27.290,2023-11-07T03:34:32.507,Rejected
CVE-2021-31035,2021-08-24T19:15:26.133,2023-11-07T03:34:26.000,Rejected
CVE-2021-31042,2021-08-24T19:15:26.470,2023-11-07T03:34:27.657,Rejected
CVE-2021-31015,2021-08-24T19:15:25.187,2023-11-07T03:34:21.130,Rejected
CVE-2021-31003,2021-08-24T19:15:24.567,2023-11-07T03:34:17.723,Rejected
CVE-2021-31054,2021-08-24T19:15:26.967,2023-11-07T03:34:30.610,Rejected
CVE-2021-31097,2021-08-24T19:15:28.960,2023-11-07T03:34:41.037,Rejected
CVE-2021-31078,2021-08-24T19:15:28.050,2023-11-07T03:34:36.463,Rejected
CVE-2021-31081,2021-08-24T19:15:28.223,2023-11-07T03:34:37.173,Rejected
CVE-2021-31039,2021-08-24T19:15:26.293,2023-11-07T03:34:26.957,Rejected
CVE-2021-31032,2021-08-24T19:15:26.017,2023-11-07T03:34:25.270,Rejected
CVE-2021-31065,2021-08-24T19:15:27.417,2023-11-07T03:34:33.383,Rejected
CVE-2021-31073,2021-08-24T19:15:27.797,2023-11-07T03:34:35.290,Rejected
CVE-2021-31024,2021-08-24T19:15:25.623,2023-11-07T03:34:23.330,Rejected
CVE-2021-31049,2021-08-24T19:15:26.763,2023-11-07T03:34:29.350,Rejected
CVE-2021-31086,2021-08-24T19:15:28.477,2023-11-07T03:34:38.363,Rejected
CVE-2021-31069,2021-08-24T19:15:27.620,2023-11-07T03:34:34.343,Rejected
CVE-2021-31090,2021-08-24T19:15:28.673,2023-11-07T03:34:39.340,Rejected
CVE-2021-31028,2021-08-24T19:15:25.797,2023-11-07T03:34:24.310,Rejected
CVE-2021-31053,2021-08-24T19:15:26.920,2023-11-07T03:34:30.377,Rejected
CVE-2021-31012,2021-08-24T19:15:25.067,2023-11-07T03:34:20.373,Rejected
CVE-2021-31045,2021-08-24T19:15:26.590,2023-11-07T03:34:28.390,Rejected
CVE-2021-31044,2021-08-24T19:15:26.550,2023-11-07T03:34:28.153,Rejected
CVE-2021-31052,2021-08-24T19:15:26.880,2023-11-07T03:34:30.093,Rejected
CVE-2021-31029,2021-08-24T19:15:25.837,2023-11-07T03:34:24.550,Rejected
CVE-2021-31091,2021-08-24T19:15:28.717,2023-11-07T03:34:39.570,Rejected
CVE-2021-31087,2021-08-24T19:15:28.517,2023-11-07T03:34:38.603,Rejected
CVE-2021-31068,2021-08-24T19:15:27.583,2023-11-07T03:34:34.110,Rejected
CVE-2021-31048,2021-08-24T19:15:26.720,2023-11-07T03:34:29.113,Rejected
CVE-2021-31025,2021-08-24T19:15:25.663,2023-11-07T03:34:23.563,Rejected
CVE-2021-31072,2021-08-24T19:15:27.757,2023-11-07T03:34:35.057,Rejected
CVE-2021-31064,2021-08-24T19:15:27.373,2023-11-07T03:34:33.130,Rejected
CVE-2021-31033,2021-08-24T19:15:26.057,2023-11-07T03:34:25.523,Rejected
CVE-2021-0384,2021-03-10T17:15:13.503,2023-11-07T03:27:23.537,Rejected
CVE-2021-39617,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,Rejected
CVE-2021-43179,2022-08-03T21:15:08.127,2023-11-07T03:39:18.937,Rejected
CVE-2021-43178,2022-08-03T21:15:08.063,2023-11-07T03:39:18.707,Rejected
CVE-2021-43149,2022-04-08T21:15:07.993,2023-11-07T03:39:18.540,Rejected
CVE-2021-3691,2022-08-26T16:15:09.383,2023-11-07T03:38:12.630,Rejected
CVE-2021-3648,2022-02-16T17:15:11.243,2023-11-07T03:38:10.937,Rejected
CVE-2021-3627,2022-08-26T16:15:09.067,2023-11-07T03:38:10.143,Rejected
CVE-2021-3651,2022-08-26T16:15:09.227,2023-11-07T03:38:11.270,Rejected
CVE-2021-3676,2022-06-02T14:15:29.553,2023-11-07T03:38:12.220,Rejected
CVE-2021-3601,2022-07-29T10:15:12.297,2023-11-07T03:38:08.903,Rejected
CVE-2021-32502,2022-03-10T17:42:15.037,2023-11-07T03:35:15.030,Rejected
CVE-2021-32505,2022-03-10T17:42:15.203,2023-11-07T03:35:15.543,Rejected
CVE-2021-32501,2022-03-10T17:42:14.873,2023-11-07T03:35:14.703,Rejected
CVE-2021-32500,2022-05-02T15:15:07.887,2023-11-07T03:35:14.460,Rejected
CVE-2021-45032,2023-02-23T06:15:10.167,2023-11-07T03:39:45.060,Rejected
CVE-2021-20007,2022-02-09T16:15:12.420,2023-11-07T03:28:54.950,Rejected
CVE-2021-20011,2022-02-09T16:15:12.580,2023-11-07T03:28:55.897,Rejected
CVE-2021-20010,2022-02-09T16:15:12.540,2023-11-07T03:28:55.667,Rejected
CVE-2021-20006,2022-02-09T16:15:12.383,2023-11-07T03:28:54.693,Rejected
CVE-2021-20095,2021-04-29T15:15:10.720,2023-11-07T03:28:57.977,Rejected
CVE-2021-20015,2022-02-09T16:15:12.767,2023-11-07T03:28:57.197,Rejected
CVE-2021-20003,2022-02-09T16:15:12.267,2023-11-07T03:28:53.953,Rejected
CVE-2021-20002,2022-02-09T16:15:12.217,2023-11-07T03:28:53.697,Rejected
CVE-2021-20014,2022-02-09T16:15:12.723,2023-11-07T03:28:56.913,Rejected
CVE-2021-20009,2022-02-09T16:15:12.497,2023-11-07T03:28:55.423,Rejected
CVE-2021-20013,2022-02-09T16:15:12.677,2023-11-07T03:28:56.413,Rejected
CVE-2021-20005,2022-02-09T16:15:12.343,2023-11-07T03:28:54.430,Rejected
CVE-2021-20004,2022-02-09T16:15:12.307,2023-11-07T03:28:54.190,Rejected
CVE-2021-20012,2022-02-09T16:15:12.627,2023-11-07T03:28:56.170,Rejected
CVE-2021-20008,2022-02-09T16:15:12.460,2023-11-07T03:28:55.187,Rejected
CVE-2021-34407,2021-08-17T14:15:10.797,2023-11-07T03:35:59.110,Rejected
CVE-2021-30031,2021-04-21T16:15:08.797,2023-11-07T03:32:58.080,Rejected
CVE-2021-24417,2022-12-30T22:15:18.230,2023-11-07T03:31:12.343,Rejected
CVE-2021-41447,2022-06-13T17:15:08.267,2023-11-07T03:38:56.680,Rejected
CVE-2021-41446,2022-06-13T17:15:08.227,2023-11-07T03:38:56.643,Rejected
CVE-2021-41438,2022-06-13T17:15:08.120,2023-11-07T03:38:56.540,Rejected
CVE-2021-41439,2022-06-13T17:15:08.177,2023-11-07T03:38:56.587,Rejected
CVE-2021-41454,2022-06-13T17:15:08.430,2023-11-07T03:38:56.887,Rejected
CVE-2021-41453,2022-06-13T17:15:08.387,2023-11-07T03:38:56.853,Rejected
CVE-2021-41428,2021-09-23T15:15:08.153,2023-11-07T03:38:56.450,Rejected
CVE-2021-41452,2022-06-13T17:15:08.347,2023-11-07T03:38:56.820,Rejected
CVE-2021-41448,2022-06-13T17:15:08.303,2023-11-07T03:38:56.720,Rejected
CVE-2021-36594,2024-05-01T22:15:09.413,2024-05-02T22:15:07.487,Rejected
CVE-2021-36593,2024-05-01T22:15:09.340,2024-05-02T22:15:07.430,Rejected
CVE-2021-47115,2024-03-15T21:15:06.780,2024-03-18T11:15:07.400,Rejected
CVE-2021-41076,2021-09-15T13:15:08.460,2023-11-07T03:38:49.043,Rejected
CVE-2021-41007,2023-01-05T22:15:09.073,2023-11-07T03:38:48.023,Rejected
CVE-2021-41070,2021-10-12T17:16:01.427,2023-11-07T03:38:48.867,Rejected
CVE-2021-41071,2021-10-12T17:16:01.473,2023-11-07T03:38:48.900,Rejected
CVE-2021-41010,2023-01-05T22:15:09.230,2023-11-07T03:38:48.170,Rejected
CVE-2021-41006,2023-01-05T22:15:09.020,2023-11-07T03:38:47.950,Rejected
CVE-2021-41009,2023-01-05T22:15:09.177,2023-11-07T03:38:48.123,Rejected
CVE-2021-41064,2023-02-09T17:15:10.990,2023-11-07T03:38:48.647,Rejected
CVE-2021-41008,2023-01-05T22:15:09.123,2023-11-07T03:38:48.073,Rejected
CVE-2021-38892,2022-01-12T17:15:08.130,2023-11-07T03:37:28.957,Rejected
CVE-2021-3880,2022-02-24T15:15:22.443,2023-11-07T03:38:21.557,Rejected
CVE-2021-3896,2021-11-04T21:15:07.587,2023-11-07T03:38:23.847,Rejected
CVE-2021-3886,2022-02-24T15:15:22.563,2023-11-07T03:38:22.643,Rejected
CVE-2021-3873,2022-02-24T15:15:22.323,2023-11-07T03:38:19.850,Rejected
CVE-2021-3868,2022-02-24T15:15:22.207,2023-11-07T03:38:18.493,Rejected
CVE-2021-3887,2022-02-24T15:15:22.607,2023-11-07T03:38:22.877,Rejected
CVE-2021-3892,2021-12-23T16:15:07.937,2023-11-07T03:38:23.137,Rejected
CVE-2021-3884,2022-02-24T15:15:22.520,2023-11-07T03:38:22.410,Rejected
CVE-2021-3871,2022-02-24T15:15:22.287,2023-11-07T03:38:19.227,Rejected
CVE-2021-3867,2022-02-24T15:15:22.170,2023-11-07T03:38:18.133,Rejected
CVE-2021-3870,2022-02-24T15:15:22.247,2023-11-07T03:38:18.883,Rejected
CVE-2021-3885,2024-02-23T21:15:10.070,2024-05-17T02:00:36.267,Rejected
CVE-2021-3893,2022-02-24T15:15:22.653,2023-11-07T03:38:23.353,Rejected
CVE-2021-3877,2022-02-24T15:15:22.400,2023-11-07T03:38:20.717,Rejected
CVE-2021-3894,2022-08-23T16:15:10.140,2023-11-07T03:38:23.590,Rejected
CVE-2021-3883,2022-02-24T15:15:22.480,2023-11-07T03:38:22.180,Rejected
CVE-2021-3876,2022-02-24T15:15:22.363,2023-11-07T03:38:20.330,Rejected
CVE-2021-34064,2023-02-24T16:15:11.507,2023-11-07T03:35:56.547,Rejected
CVE-2021-43503,2022-04-08T18:15:09.627,2023-11-07T03:39:22.220,Rejected
CVE-2021-26568,2022-12-30T22:15:18.283,2023-11-07T03:31:46.027,Rejected
CVE-2021-44771,2021-12-28T19:15:08.337,2023-11-07T03:39:43.517,Rejected
CVE-2021-4042,2022-08-25T18:15:09.503,2023-11-07T03:40:07.593,Rejected
CVE-2021-4014,2022-06-02T14:15:31.843,2023-11-07T03:40:06.160,Rejected
CVE-2021-21774,2021-08-30T18:15:08.177,2023-11-07T03:30:05.527,Rejected
CVE-2021-35313,2021-09-24T18:15:07.637,2023-11-07T03:36:31.200,Rejected
CVE-2021-33805,2021-06-03T03:15:08.773,2023-11-07T03:35:55.347,Rejected
CVE-2021-27650,2022-12-30T22:15:18.333,2023-11-07T03:31:59.937,Rejected
CVE-2021-33236,2022-08-15T20:15:09.217,2024-05-06T22:15:08.323,Rejected
CVE-2021-33237,2023-02-17T18:15:11.137,2023-11-07T03:35:49.617,Rejected
CVE-2021-33235,2022-08-15T20:15:09.143,2024-05-06T22:15:08.107,Rejected
CVE-2021-25950,2021-06-23T15:15:08.580,2023-11-07T03:31:32.137,Rejected
CVE-2021-23220,2023-03-07T23:15:09.870,2023-11-07T03:30:49.930,Rejected
CVE-2021-23212,2023-03-07T22:15:09.197,2023-11-07T03:30:49.680,Rejected
CVE-2021-23232,2023-03-07T23:15:09.987,2023-11-07T03:30:50.210,Rejected
CVE-2021-23224,2023-03-07T23:15:09.927,2023-11-07T03:30:50.050,Rejected
CVE-2021-23897,2021-07-22T16:15:09.133,2023-11-07T03:31:01.087,Rejected
CVE-2021-31771,2021-07-06T14:15:21.373,2023-11-07T03:34:59.837,Rejected
CVE-2021-46815,2022-06-13T16:15:08.237,2023-11-07T03:40:04.810,Rejected
CVE-2021-46849,2022-10-24T14:15:50.017,2023-11-07T03:40:05.343,Rejected
CVE-2021-40395,2022-01-28T18:15:07.747,2023-11-07T03:38:34.313,Rejected
CVE-2021-37853,2022-02-09T16:15:13.443,2023-11-07T03:37:02.310,Rejected
CVE-2021-37855,2022-02-09T16:15:13.517,2023-11-07T03:37:02.923,Rejected
CVE-2021-37858,2022-02-09T16:15:13.627,2023-11-07T03:37:03.823,Rejected
CVE-2021-37854,2022-02-09T16:15:13.480,2023-11-07T03:37:02.533,Rejected
CVE-2021-37857,2022-02-09T16:15:13.590,2023-11-07T03:37:03.587,Rejected
CVE-2021-37856,2022-02-09T16:15:13.553,2023-11-07T03:37:03.290,Rejected
CVE-2021-0035,2023-05-16T22:15:11.247,2023-11-07T03:27:08.590,Rejected
CVE-2021-0023,2023-05-16T22:15:10.693,2023-11-07T03:27:05.660,Rejected
CVE-2021-0019,2023-05-16T22:15:10.497,2023-11-07T03:27:04.710,Rejected
CVE-2021-0081,2023-05-16T22:15:12.103,2023-11-07T03:27:14.083,Rejected
CVE-2021-0039,2023-05-16T22:15:11.423,2023-11-07T03:27:09.967,Rejected
CVE-2021-0042,2023-05-16T22:15:11.557,2023-11-07T03:27:10.767,Rejected
CVE-2021-0015,2023-05-16T22:15:10.310,2023-11-07T03:27:03.767,Rejected
CVE-2021-0014,2023-05-16T22:15:10.260,2023-11-07T03:27:03.543,Rejected
CVE-2021-0043,2023-05-16T22:15:11.600,2023-11-07T03:27:10.997,Rejected
CVE-2021-0038,2023-05-16T22:15:11.387,2023-11-07T03:27:09.320,Rejected
CVE-2021-0080,2023-05-16T22:15:12.060,2023-11-07T03:27:13.840,Rejected
CVE-2021-0018,2023-05-16T22:15:10.450,2023-11-07T03:27:04.477,Rejected
CVE-2021-0059,2023-05-16T22:15:11.963,2023-11-07T03:27:13.260,Rejected
CVE-2021-0022,2023-05-16T22:15:10.643,2023-11-07T03:27:05.417,Rejected
CVE-2021-0034,2023-05-16T22:15:11.207,2023-11-07T03:27:08.307,Rejected
CVE-2021-0087,2023-05-16T22:15:12.197,2023-11-07T03:27:16.077,Rejected
CVE-2021-0068,2023-05-16T22:15:12.010,2023-11-07T03:27:13.553,Rejected
CVE-2021-0029,2023-05-16T22:15:10.963,2023-11-07T03:27:07.090,Rejected
CVE-2021-0044,2023-05-16T22:15:11.647,2023-11-07T03:27:11.233,Rejected
CVE-2021-0033,2023-05-16T22:15:11.157,2023-11-07T03:27:08.067,Rejected
CVE-2021-0025,2023-05-16T22:15:10.773,2023-11-07T03:27:06.147,Rejected
CVE-2021-0048,2023-05-16T22:15:11.823,2023-11-07T03:27:12.510,Rejected
CVE-2021-0049,2023-05-16T22:15:11.867,2023-11-07T03:27:12.733,Rejected
CVE-2021-0024,2023-05-16T22:15:10.733,2023-11-07T03:27:05.920,Rejected
CVE-2021-0032,2023-05-16T22:15:11.107,2023-11-07T03:27:07.823,Rejected
CVE-2021-0045,2023-05-16T22:15:11.693,2023-11-07T03:27:11.590,Rejected
CVE-2021-0028,2023-05-16T22:15:10.910,2023-11-07T03:27:06.857,Rejected
CVE-2021-0011,2023-05-16T22:15:10.210,2023-11-07T03:27:03.270,Rejected
CVE-2021-0046,2023-05-16T22:15:11.737,2023-11-07T03:27:11.977,Rejected
CVE-2021-0050,2023-05-16T22:15:11.917,2023-11-07T03:27:12.970,Rejected
CVE-2021-0085,2023-05-16T22:15:12.147,2023-11-07T03:27:14.340,Rejected
CVE-2021-0027,2023-05-16T22:15:10.860,2023-11-07T03:27:06.620,Rejected
CVE-2021-0031,2023-05-16T22:15:11.060,2023-11-07T03:27:07.577,Rejected
CVE-2021-0088,2023-05-16T22:15:12.243,2023-11-07T03:27:16.407,Rejected
CVE-2021-0030,2023-05-16T22:15:11.010,2023-11-07T03:27:07.320,Rejected
CVE-2021-0026,2023-05-16T22:15:10.813,2023-11-07T03:27:06.373,Rejected
CVE-2021-0047,2023-05-16T22:15:11.780,2023-11-07T03:27:12.217,Rejected
CVE-2021-0010,2023-05-16T22:15:10.137,2023-11-07T03:27:03.050,Rejected
CVE-2021-0021,2023-05-16T22:15:10.593,2023-11-07T03:27:05.183,Rejected
CVE-2021-0037,2023-05-16T22:15:11.337,2023-11-07T03:27:09.080,Rejected
CVE-2021-0017,2023-05-16T22:15:10.403,2023-11-07T03:27:04.230,Rejected
CVE-2021-0040,2023-05-16T22:15:11.470,2023-11-07T03:27:10.283,Rejected
CVE-2021-0041,2023-05-16T22:15:11.513,2023-11-07T03:27:10.530,Rejected
CVE-2021-0016,2023-05-16T22:15:10.357,2023-11-07T03:27:03.997,Rejected
CVE-2021-0036,2023-05-16T22:15:11.290,2023-11-07T03:27:08.837,Rejected
CVE-2021-0020,2023-05-16T22:15:10.547,2023-11-07T03:27:04.940,Rejected
CVE-2021-37298,2021-12-06T21:15:07.790,2023-11-07T03:36:56.440,Rejected
CVE-2021-44907,2022-03-17T21:15:07.947,2023-11-07T03:39:44.460,Rejected
CVE-2021-44948,2021-12-14T20:15:07.880,2023-11-07T03:39:44.617,Rejected
CVE-2021-42248,2022-05-24T15:15:07.457,2024-05-02T22:15:07.540,Rejected
CVE-2021-27294,2022-07-13T13:15:08.673,2023-11-07T03:31:56.863,Rejected
